round_id,sequence_name,event_type,severity,blue_action,pre_sla,post_event_sla,post_action_sla,rolling_sla_10,rolling_sla_50,recovery_delta,red_success_score,blue_defense_score,total_utility,action_match,false_positive,recovery_failed,hard_mode_note
11,NOISE_THEN_PRESSURE,LOG_NOISE,0.18,OBSERVE_ONLY,25.0,100.0,100.0,30.0,36.36,0.0,0.0,100.0,72.0,True,False,False,local pressure=4
12,NOISE_THEN_PRESSURE,LOG_NOISE,0.25,OBSERVE_ONLY,31.82,100.0,100.0,40.0,41.67,0.0,0.0,100.0,72.0,True,False,False,local pressure=3
13,NOISE_THEN_PRESSURE,TRAFFIC_SPIKE,0.8,APPLY_RATE_LIMIT,37.5,0.0,0.0,40.0,38.46,0.0,45.0,93.5,31.38,True,False,True,local pressure=4; partial/delayed recovery
14,NOISE_THEN_PRESSURE,TELEMETRY_INCONSISTENCY,0.8,ISOLATE_TELEMETRY_STREAM,34.62,0.0,0.0,40.0,35.71,0.0,45.0,92.5,28.22,True,False,True,local pressure=5; repeated anomaly pressure; higher simulated action cost=22.0; partial/delayed recovery
15,REPEATED_SERVICE_DEGRADATION,SERVICE_DEGRADATION,0.83,RESTART_SERVICE,32.14,0.0,0.0,40.0,33.33,0.0,65.0,91.5,22.48,True,False,True,local pressure=5; repeated anomaly pressure; higher simulated action cost=26.0; partial/delayed recovery
16,REPEATED_SERVICE_DEGRADATION,SERVICE_DEGRADATION,0.9,RESTART_SERVICE,30.0,0.0,0.0,40.0,31.25,0.0,65.0,91.5,22.48,True,False,True,local pressure=5; repeated anomaly pressure; higher simulated action cost=26.0; partial/delayed recovery
17,REPEATED_SERVICE_DEGRADATION,SERVICE_DEGRADATION,0.74,RESTART_SERVICE,28.12,0.0,0.0,40.0,29.41,0.0,65.0,91.5,22.48,True,False,True,local pressure=5; repeated anomaly pressure; higher simulated action cost=26.0; partial/delayed recovery
18,TELEMETRY_DRIFT,TELEMETRY_INCONSISTENCY,0.73,ISOLATE_TELEMETRY_STREAM,26.47,0.0,0.0,30.0,27.78,0.0,45.0,92.5,28.22,True,False,True,local pressure=5; repeated anomaly pressure; higher simulated action cost=22.0; partial/delayed recovery
19,TELEMETRY_DRIFT,TELEMETRY_INCONSISTENCY,0.88,ISOLATE_TELEMETRY_STREAM,25.0,0.0,0.0,20.0,26.32,0.0,45.0,92.5,28.22,True,False,True,local pressure=5; repeated anomaly pressure; higher simulated action cost=22.0; partial/delayed recovery
20,TELEMETRY_DRIFT,TELEMETRY_INCONSISTENCY,0.74,ISOLATE_TELEMETRY_STREAM,23.68,0.0,0.0,20.0,25.0,0.0,45.0,92.5,29.55,True,False,True,local pressure=5; repeated anomaly pressure; higher simulated action cost=22.0; partial/delayed recovery
21,MIXED_SAFE_SEQUENCE,TRAFFIC_SPIKE,0.8,APPLY_RATE_LIMIT,22.5,0.0,0.0,10.0,23.81,0.0,45.0,93.5,33.88,True,False,True,local pressure=5; partial/delayed recovery
22,MIXED_SAFE_SEQUENCE,AUTH_ANOMALY,0.74,BLOCK_SUSPICIOUS_TOKEN,21.43,100.0,100.0,10.0,27.27,0.0,0.0,100.0,71.3,True,False,False,local pressure=5
23,MIXED_SAFE_SEQUENCE,MISSION_COMMAND_ANOMALY,0.69,ESCALATE_ALERT,25.0,100.0,100.0,20.0,30.43,0.0,0.0,100.0,71.5,True,False,False,local pressure=5
